subject,run,task,formation,light_position,angle,response,RT,correct
1,4,2,2,2,2,2,1.04933447199983,1
1,4,2,2,1,2,1,0.921260513000107,1
1,4,2,2,2,2,2,0.81713832100013,1
1,4,2,2,1,1,1,0.720085506000032,1
1,4,2,4,1,2,1,0.83090318099994,1
1,4,2,4,1,1,1,0.756803137000134,1
1,4,2,4,2,1,2,0.671164341999884,1
1,4,2,4,2,1,2,0.658549393000158,1
1,4,2,4,1,2,1,0.805791812999814,1
1,4,2,4,1,1,1,0.624652422000054,1
1,4,2,4,2,2,2,0.680086231999667,1
1,4,2,4,2,2,1,1.2011716510001,0
1,5,1,1,2,2,2,1.70218823599953,1
1,5,1,1,1,1,1,0.813033262999852,1
1,5,1,1,2,2,2,0.839865029000066,1
1,5,1,1,2,1,2,0.85350654100057,1
1,5,1,1,1,2,1,1.22134675300003,1
1,5,1,1,2,1,2,1.04495824500009,1
1,5,1,1,1,1,1,0.730412257000353,1
1,5,1,1,1,2,1,0.664636552000047,1
1,5,1,4,1,2,1,0.747586131999924,1
1,5,1,4,2,2,2,0.686654314999942,1
1,5,1,4,2,1,2,0.554629577999549,1
1,5,1,4,1,2,1,1.17975345400009,1
1,5,1,4,1,1,1,0.574038767000275,1
1,5,1,4,1,1,1,0.559317588999875,1
1,5,1,4,2,2,2,1.30673957500039,1
1,5,1,4,2,1,2,0.997727457999645,1
1,5,1,3,1,1,1,0.618955989999449,1
1,5,1,3,1,2,1,0.584825785999783,1
1,5,1,3,2,2,2,0.534247691000019,1
1,5,1,3,2,1,2,0.488667302000067,1
1,5,1,3,2,1,2,0.477019746999758,1
1,5,1,3,1,1,1,0.577875908999886,1
1,5,1,3,1,2,1,0.556721448000644,1
1,5,1,3,2,2,2,0.607311282999945,1
1,5,1,2,1,1,1,0.628798509999797,1
1,5,1,2,2,1,2,0.432936977000281,1
1,5,1,2,1,2,1,0.567050314999506,1
1,5,1,2,1,2,1,0.778916618999574,1
1,5,1,2,1,1,1,0.476661280000371,1
1,5,1,2,2,2,2,1.00884335599949,1
1,5,1,2,2,1,2,0.880885477999982,1
1,5,1,2,2,2,2,0.736420782000096,1
1,6,2,3,2,2,2,0.75954686499972,1
1,6,2,3,2,1,2,0.812483271999554,1
1,6,2,3,1,2,1,0.698991837999529,1
1,6,2,3,1,1,1,1.00747551999939,1
1,6,2,3,1,1,1,0.422004113999719,1
1,6,2,3,2,2,2,0.859645681000075,1
1,6,2,3,1,2,1,1.15395466599966,1
1,6,2,3,2,1,2,0.924862138999742,1
1,6,2,1,2,1,2,1.59008974000062,1
1,6,2,1,2,1,2,0.701174322000043,1
1,6,2,1,1,2,1,0.691849009999714,1
1,6,2,1,1,1,1,0.670580244000121,1
1,6,2,1,1,1,1,0.81982114099992,1
1,6,2,1,2,2,2,0.719369366000137,1
1,6,2,1,2,2,2,0.641566381000302,1
1,6,2,1,1,2,1,0.68393016400023,1
1,6,2,2,2,1,2,1.10909832600009,1
1,6,2,2,1,1,1,0.568145587999425,1
1,6,2,2,2,1,2,0.999785800000609,1
1,6,2,2,2,2,2,0.822437680999428,1
1,6,2,2,1,1,1,0.747968562000096,1
1,6,2,2,2,2,2,0.877073331000247,1
1,6,2,2,1,2,1,0.796098780000648,1
1,6,2,2,1,2,1,0.689946859999509,1
1,6,2,4,1,2,1,0.620586053999432,1
1,6,2,4,1,2,1,0.434093024000504,1
1,6,2,4,2,1,2,0.901678172000175,1
